State,State Abb,Avg. Civil Legal Aid,Avg. Composite Index,Avg. Disabilities,Avg. Limited English,Avg. Self Represented
Wyoming,WY,6.399765505,19.896406732,20.833333333,17.977528090,34.375
Wisconsin,WI,3.717795959,50.496591624,72.222222222,62.921348315,63.125
West Virginia,WV,6.294190318,42.961266056,72.222222222,37.078651685,56.25
Washington,WA,10.924500390,46.520528968,84.722222222,51.685393258,38.75
Virginia,VA,5.993368863,38.341546024,44.444444444,57.303370787,45.625
Vermont,VT,7.248922420,29.051033664,48.611111111,24.719101124,35.625
Utah,UT,3.623694939,40.496084471,65.277777778,33.707865169,59.375
Texas,TX,2.969190028,34.077971664,62.5,25.842696629,45
Tennessee,TN,3.397579790,50.973458618,70.833333333,69.662921348,60
South Dakota,SD,4.424543897,24.330035787,41.666666667,16.853932584,34.375
South Carolina,SC,2.435761015,30.955382201,41.666666667,24.719101124,55
Rhode Island,RI,7.323262917,42.093378151,65.277777778,82.022471910,13.75
Puerto Rico,PR,4.732005576,22.943075933,22.222222222,,41.875
Pennsylvania,PA,5.901179604,30.997376674,51.388888889,40.449438202,26.25
Oregon,OR,9.853148645,48.928642966,58.333333333,77.528089888,50
Oklahoma,OK,4.747395121,28.214587544,62.5,11.235955056,34.375
Ohio,OH,4.492888974,33.721731919,55.555555556,29.213483146,45.625
North Dakota,ND,4.142634930,27.005345062,41.666666667,30.337078652,31.875
North Carolina,NC,5.082848916,42.733727210,79.166666667,51.685393258,35
New York,NY,26.532673794,39.094544853,50,23.595505618,56.25
New Mexico,NM,4.671000786,50.548017050,62.5,83.146067416,51.875
New Jersey,NJ,5.635352216,39.030951038,65.277777778,31.460674157,53.75
New Hampshire,NH,4.169518733,36.443635926,65.277777778,38.202247191,38.125
Nevada,NV,5.258751606,23.913587714,41.666666667,16.853932584,31.875
Nebraska,NE,5.942269059,37.031174318,51.388888889,65.168539326,25.625
Montana,MT,3.360196620,33.102845659,44.444444444,14.606741573,70
Missouri,MO,4.681091804,31.677451478,44.444444444,32.584269663,45
Mississippi,MS,2.557464079,14.704596981,27.777777778,13.483146067,15
Minnesota,MN,7.613228830,54.546097470,79.166666667,76.404494382,55
Michigan,MI,3.987354772,43.511273774,86.111111111,42.696629213,41.25
Massachusetts,MA,8.848869695,63.759502068,79.166666667,82.022471910,85
Maryland,MD,14.858530082,60.375837265,86.111111111,73.033707865,67.5
Maine,ME,9.394797016,48.800985459,86.111111111,41.573033708,58.125
Louisiana,LA,4.406424646,29.243577135,58.333333333,12.359550562,41.875
Kentucky,KY,4.323492761,38.338012703,70.833333333,43.820224719,34.375
Kansas,KS,3.505741343,30.202082964,56.944444444,13.483146067,46.875
Iowa,IA,6.003637557,36.639018003,70.833333333,24.719101124,45
Indiana,IN,3.167461386,26.899465222,44.444444444,11.235955056,48.75
Illinois,IL,7.910129177,52.971797275,79.166666667,51.685393258,73.125
Idaho,ID,2.865839520,36.447577233,34.722222222,38.202247191,70
Hawaii,HI,11.495684871,62.231950244,79.166666667,87.640449438,70.625
Georgia,GA,3.068927205,31.359460266,41.666666667,38.202247191,42.5
Florida,FL,4.609694727,35.078765754,72.222222222,13.483146067,50
District of Columbia,DC,93.261666607,67.900310534,65.277777778,50.561797753,62.5
Delaware,DE,6.985141064,43.677660110,55.555555556,64.044943820,48.125
Connecticut,CT,14.612584014,59.798394131,79.166666667,68.539325843,76.875
Colorado,CO,2.964842893,55.453484444,93.055555556,65.168539326,60.625
California,CA,4.402158571,49.972652626,77.777777778,31.460674157,86.25
Arkansas,AR,3.328505647,36.903443515,48.611111111,60.674157303,35
Arizona,AZ,4.222205741,38.111380087,62.5,21.348314607,64.375
Alaska,AK,11.347821432,33.565341750,56.944444444,24.719101124,41.25
Alabama,AL,2.493727699,27.824781800,69.444444444,11.235955056,28.125
